season,week,away,home,stadium,temperature,humidity,wind_speed,wind_direction,condition,surface,ou,home_spread,away_score,home_score,off,def,quarter,minutes,seconds,offense_score,defense_score,timeouts_offense,timeouts_defense,down,yards_to_go,yards_from_own_goal,points,penalty,fumble,block,play_id,kicker_id,kicker,distance,made
2012,1,DAL,NYG,MetLife Stadium,77,63,5,WNW,Fair,FieldTurf,44.5,-4,24,17,NYG,DAL,2,9,14,0,0,3,3,4,4,96,3,0,0,0,467408,2886,Lawrence Tynes,22,1
2012,1,DAL,NYG,MetLife Stadium,77,63,5,WNW,Fair,FieldTurf,44.5,-4,24,17,DAL,NYG,3,0,45,14,10,2,3,4,15,85,3,0,0,0,467464,4452,Dan Bailey,33,1
2012,1,IND,CHI,Soldier Field,67,66,13,N,Partly Cloudy,Grass,43.5,-10,21,41,CHI,IND,2,5,36,14,7,1,3,4,4,83,3,0,0,0,467577,2820,Robbie Gould,35,1
2012,1,IND,CHI,Soldier Field,67,66,13,N,Partly Cloudy,Grass,43.5,-10,21,41,IND,CHI,2,0,6,14,24,1,1,2,10,81,0,0,0,0,467603,2888,Adam Vinatieri,37,0
2012,1,IND,CHI,Soldier Field,67,66,13,N,Partly Cloudy,Grass,43.5,-10,21,41,CHI,IND,3,10,7,31,14,3,3,4,6,92,3,0,0,0,467619,2820,Robbie Gould,26,1
2012,1,PHI,CLE,Cleveland Browns Stadium,68,57,9,NNW,Sunny,Grass,43,9.5,17,16,CLE,PHI,1,9,16,0,0,3,3,4,9,75,3,0,0,0,467699,2806,Phil Dawson,43,1
2012,1,PHI,CLE,Cleveland Browns Stadium,68,57,9,NNW,Sunny,Grass,43,9.5,17,16,PHI,CLE,2,15,0,0,3,3,3,4,8,77,3,0,0,0,467723,4349,Alex Henery,42,1
2012,1,PHI,CLE,Cleveland Browns Stadium,68,57,9,NNW,Sunny,Grass,43,9.5,17,16,CLE,PHI,3,5,1,3,10,3,3,4,9,76,3,0,0,0,467806,2806,Phil Dawson,42,1
2012,1,PHI,CLE,Cleveland Browns Stadium,68,57,9,NNW,Sunny,Grass,43,9.5,17,16,CLE,PHI,4,14,17,6,10,1,3,4,4,96,3,0,0,0,467826,2806,Phil Dawson,22,1
2012,1,PHI,CLE,Cleveland Browns Stadium,68,57,9,NNW,Sunny,Grass,43,9.5,17,16,PHI,CLE,4,9,4,10,16,3,1,4,9,73,0,0,0,0,467842,4349,Alex Henery,45,0
2012,1,ATL,KC,Arrowhead Stadium,69,47,7,NE,Sunny,Grass,43.5,2.5,40,24,KC,ATL,1,4,6,0,7,3,3,4,7,79,3,0,0,0,467898,2880,Ryan Succop,39,1
2012,1,ATL,KC,Arrowhead Stadium,69,47,7,NE,Sunny,Grass,43.5,2.5,40,24,ATL,KC,1,1,57,7,3,3,3,4,2,84,3,0,0,0,467904,2791,Matt Bryant,34,1
2012,1,ATL,KC,Arrowhead Stadium,69,47,7,NE,Sunny,Grass,43.5,2.5,40,24,ATL,KC,2,0,13,17,17,2,1,4,3,97,3,0,0,0,467947,2791,Matt Bryant,21,1
2012,1,ATL,KC,Arrowhead Stadium,69,47,7,NE,Sunny,Grass,43.5,2.5,40,24,KC,ATL,3,9,9,17,20,3,3,4,4,78,0,0,0,0,467961,2880,Ryan Succop,40,0
2012,1,ATL,KC,Arrowhead Stadium,69,47,7,NE,Sunny,Grass,43.5,2.5,40,24,ATL,KC,4,14,16,34,17,3,3,4,5,88,3,0,0,0,467988,2791,Matt Bryant,30,1
2012,1,ATL,KC,Arrowhead Stadium,69,47,7,NE,Sunny,Grass,43.5,2.5,40,24,ATL,KC,4,10,44,37,17,3,2,4,2,77,3,0,0,0,467996,2791,Matt Bryant,41,1
2012,1,BUF,NYJ,MetLife Stadium,74,48,1,W,Sunny,FieldTurf,38.5,-3,28,48,NYJ,BUF,2,2,0,21,7,0,3,4,1,93,3,0,0,0,468096,2816,Nick Folk,25,1
2012,1,BUF,NYJ,MetLife Stadium,74,48,1,W,Sunny,FieldTurf,38.5,-3,28,48,NYJ,BUF,2,0,19,24,7,0,3,4,8,79,3,0,0,0,468106,2816,Nick Folk,39,1
2012,1,STL,DET,Ford Field,,,,,Dome,FieldTurf,45.5,-8.5,23,27,STL,DET,1,2,2,0,0,3,3,4,7,70,3,0,0,0,468214,4537,Greg Zuerlein,48,1
2012,1,STL,DET,Ford Field,,,,,Dome,FieldTurf,45.5,-8.5,23,27,STL,DET,2,2,39,3,7,3,3,4,10,89,3,0,0,0,468246,4537,Greg Zuerlein,29,1
2012,1,STL,DET,Ford Field,,,,,Dome,FieldTurf,45.5,-8.5,23,27,DET,STL,2,0,25,7,13,2,3,4,8,77,3,0,0,0,468257,2828,Jason Hanson,41,1
2012,1,STL,DET,Ford Field,,,,,Dome,FieldTurf,45.5,-8.5,23,27,DET,STL,3,9,34,10,13,3,3,4,5,74,3,0,0,0,468271,2828,Jason Hanson,45,1
2012,1,STL,DET,Ford Field,,,,,Dome,FieldTurf,45.5,-8.5,23,27,STL,DET,4,2,0,20,20,2,1,4,9,72,3,0,0,0,468331,4537,Greg Zuerlein,46,1
2012,1,WAS,NO,Mercedes-Benz Superdome,,,,,Dome,UBU Speed Series S5M,49.5,-7.5,40,32,WAS,NO,1,7,11,0,0,3,3,4,10,81,3,0,0,0,468362,2802,Billy Cundiff,37,1
2012,1,WAS,NO,Mercedes-Benz Superdome,,,,,Dome,UBU Speed Series S5M,49.5,-7.5,40,32,WAS,NO,2,6,13,17,7,2,3,4,2,77,3,0,0,0,468407,2802,Billy Cundiff,41,1
2012,1,WAS,NO,Mercedes-Benz Superdome,,,,,Dome,UBU Speed Series S5M,49.5,-7.5,40,32,WAS,NO,3,7,15,27,14,2,3,4,3,81,3,0,0,0,468451,2802,Billy Cundiff,37,1
2012,1,WAS,NO,Mercedes-Benz Superdome,,,,,Dome,UBU Speed Series S5M,49.5,-7.5,40,32,NO,WAS,3,1,54,14,30,2,2,4,3,97,3,0,0,0,468468,2829,Garrett Hartley,21,1
2012,1,WAS,NO,Mercedes-Benz Superdome,,,,,Dome,UBU Speed Series S5M,49.5,-7.5,40,32,WAS,NO,4,11,3,30,17,2,2,4,3,73,3,0,0,0,468484,2802,Billy Cundiff,45,1
2012,1,MIA,HOU,Reliant Stadium,,,,,Closed Roof,Grass,42.5,-13,10,30,HOU,MIA,1,7,15,0,0,2,3,4,14,66,0,0,0,0,468556,2822,Shayne Graham,52,0
2012,1,MIA,HOU,Reliant Stadium,,,,,Closed Roof,Grass,42.5,-13,10,30,MIA,HOU,1,3,17,0,0,3,2,4,9,79,3,0,0,0,468564,2795,Dan Carpenter,39,1
2012,1,MIA,HOU,Reliant Stadium,,,,,Closed Roof,Grass,42.5,-13,10,30,HOU,MIA,2,6,16,0,3,1,3,4,17,83,3,0,0,0,468596,2822,Shayne Graham,35,1
2012,1,MIA,HOU,Reliant Stadium,,,,,Closed Roof,Grass,42.5,-13,10,30,HOU,MIA,3,6,35,24,10,2,3,4,6,78,3,0,0,0,468644,2822,Shayne Graham,40,1
2012,1,MIA,HOU,Reliant Stadium,,,,,Closed Roof,Grass,42.5,-13,10,30,HOU,MIA,4,12,25,27,10,2,3,4,1,99,3,0,0,0,468661,2822,Shayne Graham,19,1
2012,1,NE,TEN,LP Field,,,,,Sunny,Grass,47,4.5,34,13,TEN,NE,1,8,47,0,0,3,3,4,7,90,3,0,0,0,468709,2782,Rob Bironas,28,1
2012,1,NE,TEN,LP Field,,,,,Sunny,Grass,47,4.5,34,13,TEN,NE,4,9,20,10,28,3,3,4,6,94,3,0,0,0,468829,2782,Rob Bironas,24,1
2012,1,NE,TEN,LP Field,,,,,Sunny,Grass,47,4.5,34,13,NE,TEN,4,4,19,28,13,2,2,4,7,93,3,0,0,0,468842,2819,Stephen Gostkowski,25,1
2012,1,NE,TEN,LP Field,,,,,Sunny,Grass,47,4.5,34,13,NE,TEN,4,0,35,31,13,2,2,4,10,87,3,0,0,0,468853,2819,Stephen Gostkowski,31,1
2012,1,JAC,MIN,Mall of America Field at HHH Metrodome,,,,,Dome,AstroTurf,38,-3.5,23,26,JAC,MIN,1,2,56,0,0,3,3,4,1,99,3,0,0,0,468881,2874,Josh Scobee,19,1
2012,1,JAC,MIN,Mall of America Field at HHH Metrodome,,,,,Dome,AstroTurf,38,-3.5,23,26,JAC,MIN,3,4,44,9,14,3,3,4,2,92,3,0,0,0,468956,2874,Josh Scobee,26,1
2012,1,JAC,MIN,Mall of America Field at HHH Metrodome,,,,,Dome,AstroTurf,38,-3.5,23,26,MIN,JAC,4,14,12,14,12,3,3,4,2,98,3,0,0,0,468968,4512,Blair Walsh,20,1
2012,1,JAC,MIN,Mall of America Field at HHH Metrodome,,,,,Dome,AstroTurf,38,-3.5,23,26,JAC,MIN,4,9,40,12,17,3,3,4,7,71,3,0,0,0,468979,2874,Josh Scobee,47,1
2012,1,JAC,MIN,Mall of America Field at HHH Metrodome,,,,,Dome,AstroTurf,38,-3.5,23,26,MIN,JAC,4,5,38,17,15,3,3,4,13,77,3,0,0,0,468990,4512,Blair Walsh,42,1
2012,1,JAC,MIN,Mall of America Field at HHH Metrodome,,,,,Dome,AstroTurf,38,-3.5,23,26,MIN,JAC,4,0,4,20,23,3,0,2,4,63,3,0,0,0,469013,4512,Blair Walsh,55,1
2012,1,JAC,MIN,Mall of America Field at HHH Metrodome,,,,,Dome,AstroTurf,38,-3.5,23,26,MIN,JAC,5,11,11,23,23,3,3,4,5,80,3,0,0,0,469022,4512,Blair Walsh,38,1
2012,1,CAR,TB,Raymond James Stadium,83,79,15,SW,Cloudy,Grass,47,2.5,10,16,TB,CAR,1,1,25,7,0,3,3,4,11,82,3,0,0,0,469058,2779,Connor Barth,36,1
2012,1,CAR,TB,Raymond James Stadium,83,79,15,SW,Cloudy,Grass,47,2.5,10,16,TB,CAR,2,2,59,10,0,3,3,4,2,98,3,0,0,0,469083,2779,Connor Barth,20,1
2012,1,CAR,TB,Raymond James Stadium,83,79,15,SW,Cloudy,Grass,47,2.5,10,16,TB,CAR,4,8,3,13,7,3,3,4,5,78,3,0,0,0,469146,2779,Connor Barth,40,1
2012,1,CAR,TB,Raymond James Stadium,83,79,15,SW,Cloudy,Grass,47,2.5,10,16,CAR,TB,4,2,50,7,16,3,3,4,3,97,3,0,0,0,469163,2856,Justin Medlock,21,1
2012,1,SEA,ARI,University of Phoenix Stadium,,,,,Closed Roof,Grass,40.5,3,16,20,SEA,ARI,1,11,20,0,0,3,3,4,5,68,0,0,0,1,469180,2830,Stephen Hauschka,50,0
2012,1,SEA,ARI,University of Phoenix Stadium,,,,,Closed Roof,Grass,40.5,3,16,20,SEA,ARI,1,7,31,0,0,3,3,4,2,91,3,0,0,0,469189,2830,Stephen Hauschka,27,1
2012,1,SEA,ARI,University of Phoenix Stadium,,,,,Closed Roof,Grass,40.5,3,16,20,ARI,SEA,1,0,38,0,3,3,3,4,3,97,3,0,0,0,469204,2815,Jay Feely,21,1
2012,1,SEA,ARI,University of Phoenix Stadium,,,,,Closed Roof,Grass,40.5,3,16,20,ARI,SEA,3,10,3,10,3,3,3,4,6,87,3,0,0,0,469264,2815,Jay Feely,31,1
2012,1,SEA,ARI,University of Phoenix Stadium,,,,,Closed Roof,Grass,40.5,3,16,20,SEA,ARI,3,5,19,10,13,3,3,4,5,71,3,0,0,0,469278,2830,Stephen Hauschka,47,1
2012,1,SEA,ARI,University of Phoenix Stadium,,,,,Closed Roof,Grass,40.5,3,16,20,SEA,ARI,4,9,25,13,13,3,3,4,15,79,3,0,0,0,469309,2830,Stephen Hauschka,39,1
2012,1,SF,GB,Lambeau Field,72,40,11,NW,Partly Cloudy,DD GrassMaster,46.5,-5,30,22,SF,GB,1,4,58,0,0,2,3,4,4,78,3,0,0,0,469372,2772,David Akers,40,1
2012,1,SF,GB,Lambeau Field,72,40,11,NW,Partly Cloudy,DD GrassMaster,46.5,-5,30,22,SF,GB,2,0,59,10,7,1,2,4,1,75,3,0,0,0,469423,2772,David Akers,43,1
2012,1,SF,GB,Lambeau Field,72,40,11,NW,Partly Cloudy,DD GrassMaster,46.5,-5,30,22,SF,GB,2,0,2,13,7,0,0,3,10,55,3,0,0,0,469433,2772,David Akers,63,1
2012,1,PIT,DEN,Sports Authority Field at Mile High,85,12,10,NE,Sunny,Grass,46,-2,19,31,PIT,DEN,2,10,13,0,0,1,2,4,3,97,3,0,0,0,469559,2881,Shaun Suisham,21,1
2012,1,PIT,DEN,Sports Authority Field at Mile High,85,12,10,NE,Sunny,Grass,46,-2,19,31,PIT,DEN,3,6,9,10,7,3,3,4,3,84,3,0,0,0,469614,2881,Shaun Suisham,35,1
2012,1,PIT,DEN,Sports Authority Field at Mile High,85,12,10,NE,Sunny,Grass,46,-2,19,31,DEN,PIT,4,3,3,22,19,2,2,4,8,92,3,0,0,0,469665,2866,Matt Prater,26,1
2012,1,CIN,BAL,M&T Bank Stadium,74,37,10,NW,Clear,MomentumTurf,41,-7,13,44,BAL,CIN,1,12,59,0,0,3,3,4,11,72,3,0,0,0,469683,51737,Justin Tucker,46,1
